dx_label,sex_label,adhd_comorbidity,Promedio_FIQ,Promedio_VIQ,Promedio_PIQ
Autismo (TEA),Femenino,No,100,101.04545454545455,100.4090909090909
Autismo (TEA),Femenino,Sí,105.38461538461539,112,104.61538461538461
Autismo (TEA),Femenino,NA,107.85,105.7,107.25
Autismo (TEA),Masculino,No,104.19047619047619,105.6,104.41904761904762
Autismo (TEA),Masculino,Sí,103.9,108.22857142857143,105.35714285714286
Autismo (TEA),Masculino,NA,108.72727272727273,108.62937062937063,106.9020979020979
Control Típico,Femenino,No,113.92307692307692,115.23076923076923,109.1076923076923
Control Típico,Femenino,NA,120.71739130434783,120.19565217391305,117.19565217391305
Control Típico,Masculino,No,114.87261146496816,118.10191082802548,111.78343949044586
Control Típico,Masculino,NA,114.6056338028169,113.80281690140845,112.21830985915493
